year,price,transmission,mileage,fuel_type,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
2015,16199,Semi-Auto,21539.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,40749,Semi-Auto,7749.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,29399,Semi-Auto,283.0,Petrol,1.6,0,0,0,1,0,0,0,1
2017,42299,Semi-Auto,18804.0,Petrol,4.0,0,0,0,1,0,0,0,1
2019,38699,Semi-Auto,3668.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,33599,Semi-Auto,1000.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,24299,Automatic,5098.0,Petrol,1.5,1,0,0,0,0,0,0,1
2019,27299,Automatic,2584.0,Diesel,1.6,1,0,0,0,1,0,0,0
2019,31199,Automatic,4842.0,Petrol,1.5,1,0,0,0,0,0,0,1
2019,34039,Semi-Auto,1000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,32399,Automatic,5415.0,Petrol,2.0,1,0,0,0,0,0,0,1
2019,38289,Semi-Auto,1000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,33719,Automatic,1000.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,32069,Automatic,1000.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,30759,Automatic,1000.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,31899,Semi-Auto,4388.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,31499,Semi-Auto,3624.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,23249,Automatic,8724.0,Petrol,1.5,1,0,0,0,0,0,0,1
2018,22899,Automatic,11124.0,Petrol,1.5,1,0,0,0,0,0,0,1
2016,18699,Semi-Auto,38265.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,30499,Semi-Auto,1488.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,28589,Automatic,7621.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,31499,Semi-Auto,6618.0,Diesel,2.0,0,0,0,1,1,0,0,0
